"name","description","createdAt","labels","embedCode","source","duration"
"DifferentStories_WK_5_KELLY_h264_V1.mp4",,"2018-01-28T20:38:24Z","","NraXA1ZTE6px3ikN7Dy2C1L4zmiVgDkO","http://cms.ooyala.com/NraXA1ZTE6px3ikN7Dy2C1L4zmiVgDkO%2F0000000000000-0000239873032?Signature=IaqGx%2BBZOyCB%2B3%2BFZSfIi74H%2BGs%3D&Expires=1518552009&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",111152
"3929_CEN_AP_TalkingHead_v2.mov",,"2018-01-25T18:30:28Z","","90ZG00ZTE6k8sukbExReu6mnNTG9t8Be","http://cms.ooyala.com/90ZG00ZTE6k8sukbExReu6mnNTG9t8Be%2F0000000000000-0002003820819?Signature=oUkri04OPecvcF0aNYdaPxDFLGk%3D&Expires=1518552009&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",147814
"FUSE WIGRL - Week 2","","2018-01-25T14:39:56Z","love,jesus,Fuse Sermons,characteristics-of-god,2018","s5N2s0ZTE6e0uSZDpiZwUypgo1SWTJko","http://cms.ooyala.com/s5N2s0ZTE6e0uSZDpiZwUypgo1SWTJko%2F0000000000000-0002085971546?Signature=11Bh8A%2B1G7jHU%2BB%2FIHzZDfr0xiA%3D&Expires=1518552009&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",2758291
"Weekly All Staff - Shane Duffey","","2018-01-24T21:10:41Z","All Staff","t0bmE0ZTE6YrdIbA8Q3F1WW9iJoWZQXa","http://cms.ooyala.com/t0bmE0ZTE6YrdIbA8Q3F1WW9iJoWZQXa%2F0000000000000-0000878588827?Signature=KfxSr0uE2a5xgJvnp2HohY540SM%3D&Expires=1518552009&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",1160960
"3831_CEN_WEB_Gauntlet2018Promo_H264_v3.mov",,"2018-01-24T18:43:37Z","","p4Yzk0ZTE6-ZphVyBWw5QZs1NBbxuTA5","http://cms.ooyala.com/p4Yzk0ZTE6-ZphVyBWw5QZs1NBbxuTA5%2F0000000000000-0000055051871?Signature=NeSdoUsgIGcqVbTiB56qjvokqA8%3D&Expires=1518552010&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",36536
"DifferentStories_WK_4_BORDEAUX_prores_V3.mov",,"2018-01-24T16:20:39Z","","tleDc0ZTE60wOVvMn4ucIg-FAS755rZt","http://cms.ooyala.com/tleDc0ZTE60wOVvMn4ucIg-FAS755rZt%2F0000000000000-0001590391323?Signature=7Cd9joem3yAL6YVEZ6Sn1fZsr6s%3D&Expires=1518552010&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",115907
"3557_CEN_Fuse_WhatIsGodLike-RollIn.mov",,"2018-01-23T14:51:40Z","","cydnEzZTE6_lA-qbLck3PYLJPkJtqCKp","http://cms.ooyala.com/cydnEzZTE6_lA-qbLck3PYLJPkJtqCKp%2F0000000000000-0000559817693?Signature=6tjlXowhJzmUBjWUrXdazScIrA8%3D&Expires=1518552010&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",40790
"Different - Week 3","","2018-01-22T14:04:29Z","Sermons,2018","E2czMzZTE6b-STMR0s9Qk31hd8R7VUtX","http://cms.ooyala.com/E2czMzZTE6b-STMR0s9Qk31hd8R7VUtX%2F0000000000000-0012496512981?Signature=kf1gCeZ9j3hejkfvZKlSIDwY19k%3D&Expires=1518552010&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",4951084
"DifferentStories_WK_3_JENKINS_prores_V2.mov",,"2018-01-17T19:15:55Z","","lkamMwZTE66K4-_G3U6c07FZDNFXGVK6","http://cms.ooyala.com/lkamMwZTE66K4-_G3U6c07FZDNFXGVK6%2F0000000000000-0001191338995?Signature=2PzaZKWLw7AfbnZ1%2F%2FmItnIU4X4%3D&Expires=1518552010&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",99516
"3831_CEN_WEB_Gauntlet2018Promo_ProRes_v2.mov",,"2018-01-17T14:55:15Z","","5qMjkwZTE6y_gM54ART9csMPk8obDImk","http://cms.ooyala.com/5qMjkwZTE6y_gM54ART9csMPk8obDImk%2F0000000000000-0000453840691?Signature=pw49eeij2Ujk0YOcLdT5laVvXr8%3D&Expires=1518552010&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",36536
"Weekly All Staff - Ken Wilson & Howard Frist","","2018-01-17T14:10:23Z","Weekly All Staff,All Staff","tlZzgwZTE6epey5MYmWKldFxr1-_xfQ7","http://cms.ooyala.com/tlZzgwZTE6epey5MYmWKldFxr1-_xfQ7%2F0000000000000-0001209114733?Signature=qYyx6Qn00a%2Fqw9OoubWEXuph2RE%3D&Expires=1518552010&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",1572238
"ChrisDewTalkingHead_VersionB_V2.mp4",,"2018-01-15T21:17:51Z","","d5bGl5ZDE65Bxcd4E0sB7-2EcIl4r44H","http://cms.ooyala.com/d5bGl5ZDE65Bxcd4E0sB7-2EcIl4r44H%2F0000000000000-0000474473689?Signature=uP%2B3MUJafHU2DyWhESlOkzkgXIw%3D&Expires=1518552010&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",308516
"Sam Gibson Story -Salvation.mp4",,"2018-01-15T21:15:46Z","","dnbGl5ZDE6E8aKlkicF2npPab31IK0QQ","http://cms.ooyala.com/dnbGl5ZDE6E8aKlkicF2npPab31IK0QQ%2F0000000000000-0000963569166?Signature=nnNo9Fs%2BPyztY20Vmm1ydgRGMZc%3D&Expires=1518552010&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",381748
"Different - Week 2","God is a promise maker and promise keeper. Hear from our lead pastors how God builds our faith individually and corporately when we trust His promises. ","2018-01-15T14:00:37Z","trust,Sermons,promises,bible,2017","g2OWV5ZDE6e0XWgeF5hzuzTcxVjgEaX9","http://cms.ooyala.com/g2OWV5ZDE6e0XWgeF5hzuzTcxVjgEaX9%2F0000000000000-0012801676409?Signature=Kk0kkQYm2r0KWuCl3KaQB8JnV8I%3D&Expires=1518552010&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",5072572
"FUSE WIGRL - Week 1","","2018-01-11T14:00:38Z","Fuse Sermons,2018","VnbnN3ZDE6JQqPmhOlNSic60DrAgh0aL","http://cms.ooyala.com/VnbnN3ZDE6JQqPmhOlNSic60DrAgh0aL%2F0000000000000-0001614219058?Signature=ElKe8Qao4%2Fc2kHPjkWWyQtbimC8%3D&Expires=1518552010&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",2134901
"Luke_And_Sadies_FullSubtitles_V6.mp4",,"2018-01-10T16:30:09Z","","BjeWh3ZDE6N4N17zxGwXG44iekTdnGZs","http://cms.ooyala.com/BjeWh3ZDE6N4N17zxGwXG44iekTdnGZs%2F0000000000000-0000792249893?Signature=qXuunRdGLfTFI%2BqfoebggXjQ7Vc%3D&Expires=1518552010&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",402110
"DifferentStories_WK_2_SHARPE_prores_V3.mov",,"2018-01-10T15:13:49Z","","lhdGd3ZDE67yV9XIWKJjUkqPLg6OZIZI","http://cms.ooyala.com/lhdGd3ZDE67yV9XIWKJjUkqPLg6OZIZI%2F0000000000000-0001164790139?Signature=uxaNZKbvxiVHl35qiESClSmnL%2FE%3D&Expires=1518552010&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",99808
"Weekly All Staff - B Coop","","2018-01-10T14:02:42Z","Weekly All Staff,All Staff","FiZGZ3ZDE61s6bnyfD3WWD9yto8_xlXl","http://cms.ooyala.com/FiZGZ3ZDE61s6bnyfD3WWD9yto8_xlXl%2F0000000000000-0000954309591?Signature=TQmfzOshn%2Fy3BM0xQzON1xAcOq8%3D&Expires=1518552010&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",1260860
"Different - Week 1","We were made to be different. But we won't get there by doing what we've always done. This requires a change from the inside out. We'll have to think different to be different. Only then will we begin to do things differently and live in a way that makes a difference. ","2018-01-08T14:09:50Z","vision,Sermons,discipleship,church,2017","R5dHJ2ZDE6aJ2_DEg2D3EfpEH4wL6I1a","http://cms.ooyala.com/R5dHJ2ZDE6aJ2_DEg2D3EfpEH4wL6I1a%2F0000000000000-0012138217653?Signature=xBHLrEErMp24VYjdIGRx4eAxNhI%3D&Expires=1518552010&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",4809776
"Weekly All Staff - Lee McD","","2018-01-03T16:23:09Z","Weekly All Staff,All Staff","h2MGF1ZDE6HrTJ4CKa0xOqX6G5nvIN_5","http://cms.ooyala.com/h2MGF1ZDE6HrTJ4CKa0xOqX6G5nvIN_5%2F0000000000000-0001116435883?Signature=kZrVjHu0TFoBUFDRm1Z9%2FVFfpFs%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",1569135
"Christmas At NewSpring 2017","Christmas is about three things: the gift, the giver, and the response. Jesus is God’s gift to us, and our response to His arrival shapes more than how we see Christmas. It changes how we live. ","2017-12-25T04:05:38Z","Sermons,jesus,giving,following-jesus,christmas,2017","R0bnFyZDE6kpVUJOlzAIzJyfn4rTEi0C","http://cms.ooyala.com/R0bnFyZDE6kpVUJOlzAIzJyfn4rTEi0C%2F0000000000000-0011576264721?Signature=E%2BevZyQUh2enZILV5sLpnrqKsaI%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",4586786
"DifferentPromo_h264_ToWeb_V2.mp4",,"2017-12-20T15:13:56Z","","V1a2xxZDE6g-BJTbHZEU8N37nDPFFWq1","http://cms.ooyala.com/V1a2xxZDE6g-BJTbHZEU8N37nDPFFWq1%2F0000000000000-0000104187752?Signature=WITqSn0BxNwYTWxaFWt2iEY0tsY%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",56139
"171219_AllStaff-Weekly(LeeMcD).mp4",,"2017-12-19T21:32:56Z","","wydGNxZDE6Fcan7d1iG_4dKX24NZeHZf","http://cms.ooyala.com/wydGNxZDE6Fcan7d1iG_4dKX24NZeHZf%2F0000000000000-0001187474138?Signature=RWrxAa14MX3XNYd%2Be91eKjyppkM%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",1569135
"DYSWIS - Week 3","The wise men had everything society says we need: money, education, respect, power. Still, they weren’t satisfied. So they packed their bags and followed a star on the search for something more. Like the wise men, all of us are born with a longing that can only be fulfilled in Jesus. ","2017-12-18T14:00:10Z","wealth,Sermons,jesus,christmas,2017","tvaTZwZDE68TATo8HmdqCG6d-OU4_ni2","http://cms.ooyala.com/tvaTZwZDE68TATo8HmdqCG6d-OU4_ni2%2F0000000000000-0011275739028?Signature=4Mwv%2FQb0K8hFSCM46RFq5iJQnBc%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",4471538
"Kingdom (Fuse) - Week 3","","2017-12-14T16:12:47Z","heaven,Fuse Sermons,following-jesus,discipline,christmas,2017","tyeHNuZDE6l-dHiDDc8zplBQAvoPddqO","http://cms.ooyala.com/tyeHNuZDE6l-dHiDDc8zplBQAvoPddqO%2F0000000000000-0001533339649?Signature=id4yqectUVmzLO76lGS6oAN5LJI%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",2026726
"Rally at Passion 2018","Join us for Passion 2018! Passion Conference exists to see a generation leverage their lives for what matters most. ","2017-12-13T16:31:00Z","","lwM2duZDE6vfjAOuE0Ee3Z_UxtduoAYf","http://cms.ooyala.com/lwM2duZDE6vfjAOuE0Ee3Z_UxtduoAYf%2F0000000000000-0000110682274?Signature=g2eRMIGpcWhDfMPVd4KagqdLEBA%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",57257
"SLC Message 8 - Lead Team","","2017-12-13T16:16:44Z","Monthly All Staff,All Staff","d0eWZuZDE6vUnPbuoWpgpWk02nrZmWNE","http://cms.ooyala.com/d0eWZuZDE6vUnPbuoWpgpWk02nrZmWNE%2F0000000000000-0002678021943?Signature=HxJrOLACFLFzvGFAizEwrVTG9XY%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",3536169
"SLC Session 7 - Storytime","","2017-12-13T16:16:43Z","Monthly All Staff,All Staff","9yeWZuZDE6v4c4isuBdoaqOpi_2kfCpc","http://cms.ooyala.com/9yeWZuZDE6v4c4isuBdoaqOpi_2kfCpc%2F0000000000000-0002425964206?Signature=2KgVeMenz8bn4j2wHDMYuTEg2SU%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",3207273
"SLC Message 4 - Clayton King","","2017-12-13T16:16:43Z","Monthly All Staff,All Staff","9weWZuZDE6dL6tcw61YjOj_s_xfp59_u","http://cms.ooyala.com/9weWZuZDE6dL6tcw61YjOj_s_xfp59_u%2F0000000000000-0000723398198?Signature=cll7vv1dWO4Q58TtdDyQBwRVWGc%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",956222
"SLC Message - Jason Leard","","2017-12-13T16:16:43Z","Monthly All Staff,All Staff","9ueWZuZDE6MZsllHgpeVVeIigR-3MW34","http://cms.ooyala.com/9ueWZuZDE6MZsllHgpeVVeIigR-3MW34%2F0000000000000-0002723983752?Signature=Bxpflkrs1nc3P8cTp46GBUqujII%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",3601034
"SLC Session 5 - Clay","","2017-12-13T16:16:43Z","Monthly All Staff,All Staff","9seWZuZDE6MkGpwqMKDJofcksl5rEszt","http://cms.ooyala.com/9seWZuZDE6MkGpwqMKDJofcksl5rEszt%2F0000000000000-0002988189534?Signature=POgg3cRDAORa9uphMwa7Qh%2FBq7w%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",3950717
"SLC Message 3 - Tom Lane","","2017-12-13T16:16:43Z","Monthly All Staff,All Staff","9qeWZuZDE6ZP5_w4yZ0GupLklw1sGjYf","http://cms.ooyala.com/9qeWZuZDE6ZP5_w4yZ0GupLklw1sGjYf%2F0000000000000-0003486328637?Signature=4kIx%2BmsXbwUtqHIrVZjIDOdm4Go%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",4609209
"SLC Session 6 - Louie Gigglio","","2017-12-13T16:16:43Z","Monthly All Staff,All Staff","9oeWZuZDE6uoBrzxrrNc4scgeQLtQ_Gv","http://cms.ooyala.com/9oeWZuZDE6uoBrzxrrNc4scgeQLtQ_Gv%2F0000000000000-0003056485989?Signature=24mgBFpJ7j61NUM0WY%2FKlsQi0RU%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",3738138
"SLC Message 1 - Brad Cooper","","2017-12-13T16:16:43Z","Monthly All Staff,All Staff","9meWZuZDE6sIPvjx0WViPjwccAhg3ud3","http://cms.ooyala.com/9meWZuZDE6sIPvjx0WViPjwccAhg3ud3%2F0000000000000-0002871691512?Signature=eFlHh8HZ9JQXIH9%2BmNbBtF70MMI%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",3796396
"VRM18_PS_Wk7_BibleStory_Web.mp4",,"2017-12-13T13:44:07Z","","5vaWVuZDE6hzZwGTXxc0jGurN047kZWB","http://cms.ooyala.com/5vaWVuZDE6hzZwGTXxc0jGurN047kZWB%2F0000000000000-0000247368035?Signature=z%2BRARudM4tBxRRMnlSRCv7Wlqrs%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",164289
"VRM18_PS_Wk8_BibleStory_Web.mp4",,"2017-12-13T13:44:07Z","","5taWVuZDE67dmp73w4iucHN2mWMoZSke","http://cms.ooyala.com/5taWVuZDE67dmp73w4iucHN2mWMoZSke%2F0000000000000-0000195587102?Signature=AgNpHHMkmxHnyVj%2B21qLDqSFuRk%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",130046
"VRM18_PS_Wk2_BibleStory_Web.mp4",,"2017-12-13T13:44:07Z","","5raWVuZDE69LZLxLVoLWn5Att46Czgzt","http://cms.ooyala.com/5raWVuZDE69LZLxLVoLWn5Att46Czgzt%2F0000000000000-0000204280149?Signature=n2Gfkez5nrvUnp09VD2sYxg59sI%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",134801
"VRM18_PS_Wk5_BibleStory_Web.mp4",,"2017-12-13T13:44:07Z","","5paWVuZDE6hr3HQqcH9ARPJPGJVtSGWq","http://cms.ooyala.com/5paWVuZDE6hr3HQqcH9ARPJPGJVtSGWq%2F0000000000000-0000202968710?Signature=Vp2GjPYiOL1ZMwVOb7tF3qVF%2FOw%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",134759
"VRM18_PS_Wk3_BibleStory_Web.mp4",,"2017-12-13T13:44:07Z","","5naWVuZDE6-kvcVCQ2NU3NLXH0y7AUd5","http://cms.ooyala.com/5naWVuZDE6-kvcVCQ2NU3NLXH0y7AUd5%2F0000000000000-0000140256569?Signature=9Vk2T2hfNe7bN5F%2FJx7ei0lQ6Qw%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",93760
"VRM18_PS_Wk4_BibleStory_Web.mp4",,"2017-12-13T13:44:06Z","","5laWVuZDE6IwVwmbSG_AB9c-Ck9O4FmJ","http://cms.ooyala.com/5laWVuZDE6IwVwmbSG_AB9c-Ck9O4FmJ%2F0000000000000-0000282602264?Signature=Qj3SRnaBS7XKwGKQJHkUQNPmNt0%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",187354
"VRM18_PS_Wk6_BibleStory_Web.mp4",,"2017-12-13T13:44:06Z","","tjaWVuZDE6sQMyXwRLFHNhP52vVE5KZi","http://cms.ooyala.com/tjaWVuZDE6sQMyXwRLFHNhP52vVE5KZi%2F0000000000000-0000208187139?Signature=VhS4ZibD8h6PjM3y40BYLY20zd0%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",138388
"VRM18_PS_Wk1_BibleStory_Web.mp4",,"2017-12-13T13:44:06Z","","thaWVuZDE6e4Mifm3aqeUG6lFnd8lqZO","http://cms.ooyala.com/thaWVuZDE6e4Mifm3aqeUG6lFnd8lqZO%2F0000000000000-0000188567867?Signature=6%2FFm3%2B7s6%2BkmKBiIh0HaSBQDOHA%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",125417
"Weekly All Staff - Brad Cooper","","2017-12-12T20:45:39Z","Weekly All Staff,All Staff","lqaTVuZDE6g4IzmDHuVBrZaKcINXe1ad","http://cms.ooyala.com/lqaTVuZDE6g4IzmDHuVBrZaKcINXe1ad%2F0000000000000-0001064534768?Signature=OHVlwYTtDsuN%2BlC3BAnef54K8Mg%3D&Expires=1518552011&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",1406706
"VRM18_ES_Wk8_BibleStory.mp4",,"2017-12-11T18:46:26Z","","BmbnBtZDE6g6yPcGkvgr4ERrF4qW1uxq","http://cms.ooyala.com/BmbnBtZDE6g6yPcGkvgr4ERrF4qW1uxq%2F0000000000000-0000321456838?Signature=ZxIc%2FAsaClvbuyBMsNo3JPl5nYs%3D&Expires=1518552012&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",210960
"VRM18_ES_Wk7_BibleStory.mp4",,"2017-12-11T18:46:26Z","","BkbnBtZDE6Lp8J9F9tIdyjLtnjZsk4Q2","http://cms.ooyala.com/BkbnBtZDE6Lp8J9F9tIdyjLtnjZsk4Q2%2F0000000000000-0000350485040?Signature=hIJ02mlqTu19zlw6EL%2BVyiTA%2Fvg%3D&Expires=1518552012&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",230271
"VRM18_ES_Wk5_BibleStory.mp4",,"2017-12-11T18:46:26Z","","BibnBtZDE6x3bmDPuqHcDZXXWhnoJImi","http://cms.ooyala.com/BibnBtZDE6x3bmDPuqHcDZXXWhnoJImi%2F0000000000000-0000292555863?Signature=NFmDAqTmGGMnRRYPA5U3YRJAwT8%3D&Expires=1518552012&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",192567
"VRM18_ES_Wk6_BibleStory.mp4",,"2017-12-11T18:46:26Z","","A5bnBtZDE6Ue_Jvcq09rI165Gbk7YXpy","http://cms.ooyala.com/A5bnBtZDE6Ue_Jvcq09rI165Gbk7YXpy%2F0000000000000-0000262059098?Signature=kkUEmMAS6omZ24KRO8fmge8PHpA%3D&Expires=1518552012&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",173006
"VRM18_ES_Wk4_Bible Story.mp4",,"2017-12-11T18:46:26Z","","A3bnBtZDE6mVdV8JK3aD4DoLiuu9f8aY","http://cms.ooyala.com/A3bnBtZDE6mVdV8JK3aD4DoLiuu9f8aY%2F0000000000000-0000278890722?Signature=W5G4ZrJeR1z%2Bx%2FNhBsF4WJ7ccys%3D&Expires=1518552012&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",184559
"VRM18_ES_Song_Love Will Never Fail.mp4",,"2017-12-11T18:46:25Z","","UzbnBtZDE6QnIl4RwKpKlzM2mcShxOJh","http://cms.ooyala.com/UzbnBtZDE6QnIl4RwKpKlzM2mcShxOJh%2F0000000000000-0000111555090?Signature=KZ3FQBCv579oLNFNUsdBEweHRiQ%3D&Expires=1518552012&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",77243
"VRM18_ES_Wk3_BibleStory.mp4",,"2017-12-11T18:46:25Z","","UxbnBtZDE6Kbdm10f_6Dt6N6OFPmHIkt","http://cms.ooyala.com/UxbnBtZDE6Kbdm10f_6Dt6N6OFPmHIkt%2F0000000000000-0000203785752?Signature=5nT112YCfroe%2Bt%2BPUp2lbvTrx%2Fs%3D&Expires=1518552012&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",131339
"VRM18_ES_Wk2_BibleStory.mp4",,"2017-12-11T18:46:25Z","","V5bXBtZDE6uyddG6nma3rOIP8gg2-k4q","http://cms.ooyala.com/V5bXBtZDE6uyddG6nma3rOIP8gg2-k4q%2F0000000000000-0000286415981?Signature=B4Nvug%2BY22toQXqG0xQTBoBd%2B6A%3D&Expires=1518552012&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",189064
"VRM18_ES_Wk1_BibleStory.mp4",,"2017-12-11T18:46:25Z","","V3bXBtZDE6CJAjlFIpSaPkYKv_S8dMvV","http://cms.ooyala.com/V3bXBtZDE6CJAjlFIpSaPkYKv_S8dMvV%2F0000000000000-0000343886328?Signature=hsgAI0xlADO7rFU%2Ft8p6YcFGkQs%3D&Expires=1518552012&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",227185
